id,from_email,subject,date,snippet,body
1,receipts@shopmarket.example,Your ShopMarket receipt for order #70,2026-01-01,Thanks for your purchase. Your receipt is ready for review.,"Thanks for shopping with ShopMarket. This receipt covers groceries, household supplies, pantry items, and delivery details. Keep it for your records."
2,billing@cloudhost.example,Payment failed for CloudHost invoice CH-87,2026-01-02,We could not process your latest payment and need an updated billing method.,"Your CloudHost billing method needs attention. Update the payment card before the deadline to avoid service interruption for hosting, storage, and app deployments."
3,security@riverbank.example,Security alert: new sign-in detected,2026-01-03,We noticed unusual account activity and need you to verify it.,"A security alert was triggered for your RiverBank account. Review the location, device, and login time. If this was not you, change your password immediately."
4,registrar@northview.edu,Final project deadline reminder,2026-01-04,Your school deadline is approaching and submission is required.,"This is a reminder that your course project, assignment, or capstone deliverable is due soon. Late work may require instructor approval."
5,manager@acme.example,Q3 planning notes due today,2026-01-05,Please review the work item before the meeting deadline.,"The team needs your update before the planning meeting. Share notes, review the roadmap, and flag blockers before the deadline."
6,appointments@cityclinic.example,Appointment reminder for Monday,2026-01-06,You have an appointment scheduled soon.,"This is a reminder for your upcoming appointment. Please arrive early, bring your insurance card, and complete any required forms before check-in."
7,newsletter@dailytech.example,Daily Tech Brief: AI tools for productivity,2026-01-07,Today's newsletter includes technology stories and product updates.,"In this newsletter, we cover AI productivity workflows, software funding news, cloud infrastructure updates, and practical tools for builders. You can unsubscribe at any time."
8,deals@freshcart.example,Weekend grocery deals inside,2026-01-08,"Save with sale prices, coupons, discounts, and member deals.","FreshCart members can save on produce, frozen meals, snacks, and household items. Clip coupons before checkout and browse the weekly promotion."
9,promos@flyaway.example,Flash sale: flights from $206,2026-01-09,Book by midnight to get limited-time fares and travel deals.,FlyAway is offering discounted fares for selected routes. Seats are limited and promotion prices expire soon. This is a marketing deal.
10,no-reply@streambox.example,Your monthly subscription receipt,2026-01-10,Your subscription renewed successfully.,"Your monthly subscription has renewed. Manage billing, plan settings, devices, and account preferences from your subscription page."
11,support@payroll.example,Timesheet approval required,2026-01-11,Pending timesheets need review before payroll processing.,Please review and approve contractor timesheets before payroll begins. Payment may be delayed if approval is not completed by the deadline.
12,library@northview.edu,Library book due soon,2026-01-12,A borrowed item is due soon and may require action.,Your borrowed library item is due soon. Renew online or return it to avoid late fees. This notice may become a final notice if overdue.
13,events@coworkhub.example,Reminder: networking breakfast tomorrow,2026-01-13,Your event reminder and schedule are ready.,"Join local founders and builders for networking, coffee, workshops, and short introductions. Review the agenda before arrival."
14,updates@productboard.example,New comments on your roadmap item,2026-01-14,Your roadmap item has new comments and review activity.,"Teammates commented on the roadmap item. Review the discussion, update priority, and check launch timeline before the next planning review."
15,alerts@cardsecure.example,Urgent action needed: card verification,2026-01-15,Please verify recent card activity as soon as possible.,We need you to verify recent card activity. Review the transaction list and confirm whether you recognize the charges. Urgent action may be required.
16,careers@startup.example,Interview schedule confirmation,2026-01-16,Your interview details need review or confirmation.,"Your interview is scheduled soon. Confirm the time, review the agenda, and join using the provided meeting link. Please reply if you need to reschedule."
17,receipts@shopmarket.example,Receipt for grocery pickup #342,2026-01-17,Thanks for your purchase. Your receipt is ready for review.,"Thanks for shopping with ShopMarket. This receipt covers groceries, household supplies, pantry items, and delivery details. Keep it for your records."
18,billing@cloudhost.example,Action required: update billing method,2026-01-18,We could not process your latest payment and need an updated billing method.,"Your CloudHost billing method needs attention. Update the payment card before the deadline to avoid service interruption for hosting, storage, and app deployments."
19,security@riverbank.example,Verify suspicious account activity,2026-01-19,We noticed unusual account activity and need you to verify it.,"A security alert was triggered for your RiverBank account. Review the location, device, and login time. If this was not you, change your password immediately."
20,registrar@northview.edu,Assignment due this week,2026-01-20,Your school deadline is approaching and submission is required.,"This is a reminder that your course project, assignment, or capstone deliverable is due soon. Late work may require instructor approval."
